agency_id,agency_name,agency_url,agency_timezone,agency_lang
101712-BaliDistrictOffice,八里區公所,,Asia/Taipei,zh
101712-CapitalBus,首都客運,,Asia/Taipei,zh
101712-CitiairBus,大有巴士,,Asia/Taipei,zh
101712-DananBus,大南汽車,,Asia/Taipei,zh
101712-GongliaoDistrictOffice,貢寮區公所,,Asia/Taipei,zh
101712-JinshanDistrictOffice,金山區公所,,Asia/Taipei,zh
101712-KeelungBus,基隆客運,,Asia/Taipei,zh
101712-KuangHuaBus,光華巴士,,Asia/Taipei,zh
101712-KuangHuaBus.,光華巴士,,Asia/Taipei,zh
101712-KuoKuangBus,國光客運,,Asia/Taipei,zh
101712-LinkouDistrictOffice,林口區公所,,Asia/Taipei,zh
101712-LuzhouDistrictOffice,蘆洲區公所,,Asia/Taipei,zh
101712-MetropolitanBus,大都會客運,,Asia/Taipei,zh
101712-NewTaipeiBus,新北客運,,Asia/Taipei,zh
101712-PinglinDistrictOffice,坪林區公所,,Asia/Taipei,zh
101712-PingxiDistrictOffice,平溪區公所,,Asia/Taipei,zh
101712-RoyalBus,皇家客運,,Asia/Taipei,zh
101712-RuifangDistrictOffice,瑞芳區公所,,Asia/Taipei,zh
101712-SanChungBus,三重客運,,Asia/Taipei,zh
101712-SanchongDistrictOffice,三重區公所,,Asia/Taipei,zh
101712-SanxiaDistrictOffice,三峽區公所,,Asia/Taipei,zh
101712-SanzhiDistrictOffice,三芝區公所,,Asia/Taipei,zh
101712-ShenkengDistrictOffice,深坑區公所,,Asia/Taipei,zh
101712-ShimenDistrictOffice,石門區公所,,Asia/Taipei,zh
101712-Shin-Shin Bus,欣欣客運,,Asia/Taipei,zh
101712-ShinshinBus,欣欣客運,,Asia/Taipei,zh
101712-ShuangxiDistrictOffice,雙溪區公所,,Asia/Taipei,zh
101712-ShulinDistrictOffice,樹林區公所,,Asia/Taipei,zh
101712-SindianBus,新店客運,,Asia/Taipei,zh
101712-SoutheastBus,東南客運,,Asia/Taipei,zh
101712-TaipeiBus,臺北客運,,Asia/Taipei,zh
101712-TaishanDistrictOffice,泰山區公所,,Asia/Taipei,zh
101712-TamshuiBus,淡水客運,,Asia/Taipei,zh
101712-TamsuiDistrictOffice,淡水區公所,,Asia/Taipei,zh
101712-TaoyuanBus,桃園客運,,Asia/Taipei,zh
101712-WanliDistrictOffice,萬里區公所,,Asia/Taipei,zh
101712-XindianDistrictOffice,新店區公所,,Asia/Taipei,zh
101712-XinzhuangDistrictOffice,新莊區公所,,Asia/Taipei,zh
101712-XizhiDistrictOffice,汐止區公所,,Asia/Taipei,zh
101712-YinggeDistrictOffice,鶯歌區公所,,Asia/Taipei,zh
101712-YongheDistrictOffice,永和區公所,,Asia/Taipei,zh
101712-ZhinanBus,指南客運,,Asia/Taipei,zh
101712-ZhongheDistrictOffice,中和區公所,,Asia/Taipei,zh
101712-ZhongxingBus,中興巴士,,Asia/Taipei,zh
