route_id,agency_id,route_short_name,route_long_name,route_type
101712-10764,101712-ShinshinBus,531,紫雲里-松山車站,3
101712-11056,101712-SoutheastBus,552,金龍寺-捷運市政府站,3
101712-11124,101712-DananBus,223,關渡-青年公園,3
101712-10746,101712-ShinshinBus,252,富德-臺北車站,3
101712-16168,101712-MetropolitanBus,108區,陽明山-二子坪,3
101712-10722,101712-ShinshinBus,藍29,東園-聯合醫院中興院區,3
101712-11145,101712-DananBus,小7,北投-嶺頭,3
101712-11854,101712-DananBus,市民小巴6,舊莊-捷運南港站,3
101712-15221,101712-TamshuiBus,682,八里-社子,3
101712-16184,101712-KuangHuaBus.,680,麟光-天母,3
101712-19648,101712-TaipeiBus,懷恩專車S34,捷運古亭站(和平)-臺北市懷愛館,3
101712-10415,101712-SanChungBus,221,蘆洲-臺北車站,3
101712-15708,101712-CapitalBus,信義幹線,捷運昆陽站-臺北車站,3
101712-15731,101712-KuangHuaBus.,市民小巴11,天母-捷運芝山站,3
101712-17555,101712-MetropolitanBus,東環幹線,松德站-捷運劍南路站,3
101712-15331,101712-KuangHuaBus.,紅3區,社子站-內湖科技園區,3
101712-10745,101712-ShinshinBus,237,富德-捷運東門站,3
101712-10856,101712-MetropolitanBus,281,東湖-市政府,3
101712-15734,101712-CapitalBus,市民小巴10,麥帥新城-三民國中,3
101712-19776,101712-ShinshinBus,綠18,捷運大坪林站-捷運萬芳醫院站,3
101712-10334,101712-SindianBus,基隆路幹線,大崎腳-捷運市政府站,3
101712-10748,101712-ShinshinBus,295,富德-臺北車站,3
101712-10932,101712-TaipeiBus,仁愛幹線,五福新村-南港花園社區,3
101712-15335,101712-KuangHuaBus.,683,北士科-南港高工,3
101712-15563,101712-ZhongxingBus,311,中和-松山,3
101712-15681,101712-DananBus,內科通勤專車16,北投-內湖科技園區,3
101712-10471,101712-SanChungBus,615,丹鳳-臺北車站,3
101712-10734,101712-ShinshinBus,景美-榮總(快),景美女中-榮總,3
101712-10844,101712-MetropolitanBus,652,新莊-內湖,3
101712-17436,101712-KuangHuaBus.,紅3,社子-台北花市,3
101712-10783,101712-ShinshinBus,254,大鵬新城-民生社區,3
101712-10851,101712-MetropolitanBus,內湖幹線,東湖-衡陽路,3
101712-15185,101712-ZhinanBus,202區,錦繡-臺北科技大學,3
101712-16439,101712-ShinshinBus,278區,捷運景美站-新益里,3
101712-18508,101712-DananBus,棕20預,內科-故宮博物院,3
101712-11022,101712-SoutheastBus,綠11,萬芳社區-台電大樓,3
101712-11041,101712-MetropolitanBus,297,中和站-成功中學,3
101712-11151,101712-DananBus,230,捷運北投站-陽明山,3
101712-10421,101712-SanChungBus,紅9,蘆洲-捷運劍潭站,3
101712-10782,101712-ShinshinBus,673,大鵬新城-東園,3
101712-10792,101712-ShinshinBus,52,景明街口-聯合醫院中興院區(塔城),3
101712-10824,101712-MetropolitanBus,260區,陽明山-臺北車站,3
101712-15161,101712-ZhinanBus,676,動物園-行天宮,3
101712-15682,101712-KuangHuaBus.,內科通勤專車17,士林-內湖科技園區,3
101712-17740,101712-ZhinanBus,957,淡海新市鎮-捷運劍南路站,3
101712-10743,101712-ShinshinBus,棕11,富德-捷運公館站,3
101712-11058,101712-SoutheastBus,小3,捷運昆陽站-翠柏新村,3
101712-15313,101712-KuangHuaBus.,521,內湖-捷運忠孝復興站,3
101712-17928,101712-ShinshinBus,907通勤,萬華-崇義高中,3
101712-18057,101712-ShinshinBus,295副,富德-臺北車站,3
101712-19458,101712-KuangHuaBus.,683預,北士科-南港高工,3
101712-10441,101712-SanChungBus,508,泰山公有市場-大同之家,3
101712-10452,101712-SanChungBus,641,三重客運五股站-臺北車站,3
101712-10822,101712-MetropolitanBus,108,陽明山公車總站-陽明山公車總站,3
101712-11057,101712-SoutheastBus,小2區,國立臺灣戲曲學院-石崁(經白石湖),3
101712-10848,101712-MetropolitanBus,505,撫遠街-景美,3
101712-10853,101712-MetropolitanBus,287區,東湖-臺北橋,3
101712-11853,101712-MetropolitanBus,306區,舊莊-臺北橋,3
101712-15142,101712-ZhinanBus,42,大直-北門,3
101712-15518,101712-ZhongxingBus,605新台五,汐止-臺北車站,3
101712-16158,101712-CapitalBus,292副,二重-捷運麟光站,3
101712-17390,101712-ZhongxingBus,950,中和-內湖科學園區,3
101712-10462,101712-SanChungBus,645副,中華科技大學-捷運石牌站,3
101712-10742,101712-ShinshinBus,棕6,捷運動物園站-捷運市政府站,3
101712-10874,101712-MetropolitanBus,277,松德站-榮總,3
101712-11741,101712-ShinshinBus,貓空右線,貓空纜車站-杏花林,3
101712-11851,101712-MetropolitanBus,276,舊莊-衡陽路,3
101712-15361,101712-KuangHuaBus.,藍7,故宮-捷運市政府站,3
101712-15696,101712-DananBus,南軟通勤專車北投線,新北投-南港軟體園區,3
101712-16172,101712-TaipeiBus,懷恩專車S31,捷運公館站-臺北市懷愛館,3
101712-19716,101712-DananBus,小39,新北投車站-硫磺谷,3
101712-10332,101712-SindianBus,松江新生幹線,青潭-復興北村,3
101712-10831,101712-MetropolitanBus,藍5,吳興街-捷運市政府站,3
101712-10971,101712-CitiairBus,88,重陽路-臺北車站,3
101712-11208,101712-CapitalBus,小16,捷運劍潭站-公館里,3
101712-15690,101712-NewTaipeiBus,內科通勤專車7,汐止-內湖科學園區,3
101712-15735,101712-DananBus,602,天母-北投,3
101712-16648,101712-DananBus,小28,捷運北投站-珠海路,3
101712-10132,101712-TaipeiBus,234,板橋-西門,3
101712-10328,101712-SindianBus,643,錦繡山莊-復興北村,3
101712-10431,101712-SanChungBus,紅31,捷運大湖公園站-捷運民權西路站,3
101712-10473,101712-SanChungBus,306,蘆洲-凌雲五村,3
101712-10481,101712-SanChungBus,265經中央路,土城-行政院,3
101712-10712,101712-ShinshinBus,251,深坑-臺北車站,3
101712-10724,101712-ShinshinBus,907,萬華-崇義高中,3
101712-10741,101712-ShinshinBus,棕3,富德-萬美社區,3
101712-10771,101712-ShinshinBus,670,國立臺灣科技大學華夏校區-臺北車站,3
101712-10791,101712-ShinshinBus,市民小巴5,興得閱覽室-捷運景美站,3
101712-10961,101712-MetropolitanBus,262,宏國德霖科技大學-民生社區,3
101712-10292,101712-CapitalBus,藍10,民生社區-南港花園社區,3
101712-10417,101712-SanChungBus,忠孝幹線,蘆洲-松山車站,3
101712-10419,101712-SanChungBus,232快,蘆洲-松山車站,3
101712-10482,101712-DananBus,265區,重慶國中-行政院,3
101712-10726,101712-ShinshinBus,18,萬華-捷運麟光站,3
101712-10736,101712-ShinshinBus,671,景美女中-臺北車站,3
101712-10744,101712-ShinshinBus,棕15,富德-貓空纜車站,3
101712-11011,101712-SoutheastBus,紅29,內湖(新湖二路)-捷運民權西路站,3
101712-10723,101712-ShinshinBus,1,萬華-松仁路,3
101712-10847,101712-MetropolitanBus,63,內湖舊宗路-臺北車站,3
101712-10872,101712-MetropolitanBus,46,松德站-圓環,3
101712-10273,101712-CapitalBus,303區,捷運劍潭站-平等里,3
101712-10821,101712-MetropolitanBus,紅5,陽明山-捷運劍潭站,3
101712-11064,101712-DananBus,小36,捷運石牌站-六窟,3
101712-11071,101712-SoutheastBus,小10,萬芳社區-貓空,3
101712-11073,101712-SoutheastBus,小11,萬芳社區-大春山莊,3
101712-10861,101712-ShinshinBus,630,東園-東湖,3
101712-10893,101712-MetropolitanBus,274,蘆洲-臺北車站,3
101712-10231,101712-CapitalBus,民權幹線,南港-臺北橋,3
101712-10251,101712-CapitalBus,南京幹線,南港高工-圓環,3
101712-10278,101712-CapitalBus,669,三重-市政府,3
101712-10733,101712-ShinshinBus,棕2,萬芳社區-景美女中,3
101712-10763,101712-ShinshinBus,903,東湖-忠孝東路,3
101712-10862,101712-MetropolitanBus,38,環南市場-大安國宅,3
101712-11061,101712-SoutheastBus,小5區,捷運昆陽站-茶葉製造示範廠,3
101712-10326,101712-SindianBus,648,錦繡山莊-臺北車站,3
101712-10331,101712-SindianBus,647,大崎腳-捷運市政府站,3
101712-10754,101712-ShinshinBus,915,景美-捷運市政府站,3
101712-10911,101712-CitiairBus,212直,舊莊-青年公園,3
101712-11051,101712-SoutheastBus,小1,中華科技大學-內溝,3
101712-11055,101712-SoutheastBus,小2,國立台灣戲曲學院-捷運市政府站,3
101712-10253,101712-CapitalBus,內科通勤專車22,捷運圓山站-西湖圖書館(湖光教會),3
101712-10293,101712-CapitalBus,民生幹線,麥帥新城-圓環,3
101712-10416,101712-SanChungBus,232,蘆洲-捷運善導寺站,3
101712-10442,101712-SanChungBus,508區,蘆洲-大同之家,3
101712-10845,101712-MetropolitanBus,286,南港花園社區-松山車站,3
101712-10846,101712-MetropolitanBus,286副,福德街-行天宮,3
101712-10863,101712-MetropolitanBus,38區,寶興街-捷運龍山寺站,3
101712-10864,101712-MetropolitanBus,12,東園-民生社區,3
101712-10882,101712-MetropolitanBus,9,社子國小-萬華,3
101712-11031,101712-SoutheastBus,棕10,捷運大湖公園站-南京復興路口,3
101712-10221,101712-CapitalBus,618,新莊-士林,3
101712-10432,101712-SanChungBus,藍26,舊宗路-捷運市政府站,3
101712-10443,101712-SanChungBus,225,蘆洲-民生社區,3
101712-10811,101712-MetropolitanBus,685,麟光新村-天母,3
101712-10842,101712-MetropolitanBus,222,內湖-衡陽路,3
101712-10912,101712-CitiairBus,212,舊莊-青年公園,3
101712-11021,101712-SoutheastBus,棕5,萬芳社區-指南宮,3
101712-10181,101712-TaipeiBus,205,中華科技大學-東園,3
101712-10232,101712-CapitalBus,紅25,南港-捷運北門站,3
101712-10272,101712-CapitalBus,303,捷運劍潭站-大坪尾,3
101712-10277,101712-CapitalBus,542,捷運圓山站-捷運中山國中站,3
101712-10333,101712-SindianBus,644,青潭-博愛路,3
101712-10422,101712-SanChungBus,617,泰山-內湖,3
101712-10721,101712-ShinshinBus,藍28,景明街口-東園,3
101712-10725,101712-ShinshinBus,568,萬華-捷運麟光站,3
101712-10785,101712-ShinshinBus,672,大鵬新城-民生社區,3
101712-10749,101712-ShinshinBus,棕11副,富德-福興路,3
101712-11052,101712-SoutheastBus,小12,捷運昆陽站-貓纜動物園站,3
101712-11059,101712-SoutheastBus,小5,捷運昆陽站-光明寺,3
101712-10283,101712-CapitalBus,235,新莊-國父紀念館,3
101712-10472,101712-SanChungBus,111,新莊-陽明山,3
101712-10765,101712-ShinshinBus,646,東湖-捷運劍潭站,3
101712-11023,101712-SoutheastBus,298,萬芳社區-行天宮,3
101712-11066,101712-MetropolitanBus,32,南港花園社區-松仁路,3
101712-10291,101712-CapitalBus,棕1,松山車站-松山機場,3
101712-10752,101712-ShinshinBus,278,捷運景美站-捷運內湖站,3
101712-10841,101712-MetropolitanBus,0東,內湖-臺北車站,3
101712-10883,101712-MetropolitanBus,市民小巴7,麟光新村-捷運市政府站,3
101712-10891,101712-MetropolitanBus,14,蘆洲-臺北車站,3
101712-11062,101712-SoutheastBus,小1區,內溝-捷運昆陽站,3
101712-10282,101712-CapitalBus,663,新莊-國父紀念館,3
101712-10461,101712-SanChungBus,645,舊莊-捷運石牌站,3
101712-10767,101712-ShinshinBus,53,瓏山林社區-西松高中,3
101712-10823,101712-MetropolitanBus,260,陽明山-東園,3
101712-10873,101712-MetropolitanBus,20,永春高中-青年公園,3
101712-10941,101712-CitiairBus,藍25,中華科技大學-捷運昆陽站,3
101712-10942,101712-CitiairBus,257,新莊聯合辦公大樓-南港花園社區,3
101712-10962,101712-MetropolitanBus,262區,中和-民生社區,3
101712-10142,101712-TaipeiBus,南環幹線,新店-臺北市政府,3
101712-10241,101712-CapitalBus,藍36,汐止社后-捷運昆陽站,3
101712-10262,101712-CapitalBus,2,台北海大-臺大醫院,3
101712-10711,101712-ShinshinBus,羅斯福路幹線,捷運動物園站-臺北車站,3
101712-10747,101712-ShinshinBus,294,富德-仁愛國中,3
101712-10751,101712-ShinshinBus,棕12,景美-客家文化主題公園,3
101712-10832,101712-MetropolitanBus,22,松德站-衡陽路,3
101712-10261,101712-CapitalBus,紅33,葫蘆里-聯合醫院中興院區(西寧),3
101712-10263,101712-CapitalBus,536,台北海大-大同之家,3
101712-10414,101712-SanChungBus,261,蘆洲-臺大醫院,3
101712-10423,101712-SanChungBus,622,泰山-捷運中山站(志仁高中),3
101712-10735,101712-ShinshinBus,253,景美女中-臺北車站,3
101712-11158,101712-DananBus,218區,新北投-捷運奇岩站,3
101712-11252,101712-CapitalBus,255,雙溪-臺北車站,3
101712-15191,101712-ZhinanBus,660,深坑-圓環,3
101712-15333,101712-KuangHuaBus.,250,北士科-青年公園,3
