trip_id,arrival_time,departure_time,stop_id,stop_sequence
101712-102720:0:svc-64:0,00:00:00,00:00:00,101712-STOP_20647,1
101712-102720:0:svc-64:0,00:00:36,00:00:36,101712-STOP_57654,2
101712-102720:0:svc-64:0,00:01:21,00:01:21,101712-STOP_20648,3
101712-102720:0:svc-64:0,00:01:53,00:01:53,101712-STOP_58439,4
101712-102720:0:svc-64:0,00:02:24,00:02:24,101712-STOP_20649,5
101712-102720:0:svc-64:0,00:03:05,00:03:05,101712-STOP_20650,6
101712-102720:0:svc-64:0,00:03:34,00:03:34,101712-STOP_20651,7
101712-102720:0:svc-64:0,00:04:02,00:04:02,101712-STOP_20652,8
101712-102720:0:svc-64:0,00:05:21,00:05:21,101712-STOP_20653,9
101712-102720:0:svc-64:0,00:05:46,00:05:46,101712-STOP_20654,10
101712-102720:0:svc-64:0,00:06:32,00:06:32,101712-STOP_20655,11
101712-102720:0:svc-64:0,00:07:13,00:07:13,101712-STOP_20656,12
101712-102720:0:svc-64:0,00:07:51,00:07:51,101712-STOP_20657,13
101712-102720:0:svc-64:0,00:08:50,00:08:50,101712-STOP_20658,14
101712-102720:0:svc-64:0,00:09:21,00:09:21,101712-STOP_20659,15
101712-102720:0:svc-64:0,00:09:57,00:09:57,101712-STOP_20660,16
101712-102720:0:svc-64:0,00:10:23,00:10:23,101712-STOP_20661,17
101712-102720:0:svc-64:0,00:11:19,00:11:19,101712-STOP_20662,18
101712-102720:0:svc-64:0,00:12:09,00:12:09,101712-STOP_20663,19
101712-102720:0:svc-64:0,00:12:47,00:12:47,101712-STOP_20664,20
101712-102720:0:svc-64:0,00:13:24,00:13:24,101712-STOP_20665,21
101712-102720:0:svc-64:0,00:13:55,00:13:55,101712-STOP_20666,22
101712-102720:0:svc-64:0,00:15:08,00:15:08,101712-STOP_20667,23
101712-102720:0:svc-64:0,00:15:31,00:15:31,101712-STOP_20668,24
101712-102720:0:svc-64:0,00:16:35,00:16:35,101712-STOP_20669,25
101712-102720:0:svc-64:0,00:17:03,00:17:03,101712-STOP_20670,26
101712-102720:0:svc-64:0,00:17:36,00:17:36,101712-STOP_20671,27
101712-102720:0:svc-64:0,00:17:57,00:17:57,101712-STOP_20672,28
101712-102720:0:svc-64:0,00:19:03,00:19:03,101712-STOP_20673,29
101712-102720:0:svc-64:0,00:19:32,00:19:32,101712-STOP_20674,30
101712-102720:0:svc-64:0,00:19:50,00:19:50,101712-STOP_207923,31
101712-102720:0:svc-64:0,00:20:02,00:20:02,101712-STOP_20675,32
101712-102720:0:svc-64:0,00:21:08,00:21:08,101712-STOP_20676,33
101712-102720:0:svc-64:0,00:21:21,00:21:21,101712-STOP_20677,34
101712-102720:0:svc-64:0,00:21:42,00:21:42,101712-STOP_20678,35
101712-102720:0:svc-64:0,00:22:17,00:22:17,101712-STOP_20679,36
101712-102720:0:svc-64:0,00:22:34,00:22:34,101712-STOP_20680,37
101712-102720:0:svc-64:0,00:23:02,00:23:02,101712-STOP_20681,38
101712-102720:0:svc-64:0,00:23:42,00:23:42,101712-STOP_20682,39
101712-102720:0:svc-64:0,00:24:19,00:24:19,101712-STOP_217503,40
101712-102720:0:svc-64:0,00:25:03,00:25:03,101712-STOP_20684,41
101712-102720:0:svc-64:0,00:26:03,00:26:03,101712-STOP_20685,42
101712-102720:0:svc-64:0,00:26:26,00:26:26,101712-STOP_20686,43
101712-102720:0:svc-64:0,00:26:44,00:26:44,101712-STOP_20687,44
101712-102720:0:svc-64:0,00:27:10,00:27:10,101712-STOP_20688,45
101712-102720:0:svc-64:0,00:28:32,00:28:32,101712-STOP_20689,46
101712-102720:0:svc-64:0,00:29:04,00:29:04,101712-STOP_20690,47
101712-102720:0:svc-64:0,00:30:21,00:30:21,101712-STOP_20691,48
101712-102720:0:svc-64:0,00:30:40,00:30:40,101712-STOP_20692,49
101712-102720:0:svc-64:0,00:30:52,00:30:52,101712-STOP_20693,50
101712-102720:0:svc-32:0,00:00:00,00:00:00,101712-STOP_20647,1
101712-102720:0:svc-32:0,00:00:36,00:00:36,101712-STOP_57654,2
101712-102720:0:svc-32:0,00:01:21,00:01:21,101712-STOP_20648,3
101712-102720:0:svc-32:0,00:01:53,00:01:53,101712-STOP_58439,4
101712-102720:0:svc-32:0,00:02:24,00:02:24,101712-STOP_20649,5
101712-102720:0:svc-32:0,00:03:05,00:03:05,101712-STOP_20650,6
101712-102720:0:svc-32:0,00:03:34,00:03:34,101712-STOP_20651,7
101712-102720:0:svc-32:0,00:04:02,00:04:02,101712-STOP_20652,8
101712-102720:0:svc-32:0,00:05:21,00:05:21,101712-STOP_20653,9
101712-102720:0:svc-32:0,00:05:46,00:05:46,101712-STOP_20654,10
101712-102720:0:svc-32:0,00:06:32,00:06:32,101712-STOP_20655,11
101712-102720:0:svc-32:0,00:07:13,00:07:13,101712-STOP_20656,12
101712-102720:0:svc-32:0,00:07:51,00:07:51,101712-STOP_20657,13
101712-102720:0:svc-32:0,00:08:50,00:08:50,101712-STOP_20658,14
101712-102720:0:svc-32:0,00:09:21,00:09:21,101712-STOP_20659,15
101712-102720:0:svc-32:0,00:09:57,00:09:57,101712-STOP_20660,16
101712-102720:0:svc-32:0,00:10:23,00:10:23,101712-STOP_20661,17
101712-102720:0:svc-32:0,00:11:19,00:11:19,101712-STOP_20662,18
101712-102720:0:svc-32:0,00:12:09,00:12:09,101712-STOP_20663,19
101712-102720:0:svc-32:0,00:12:47,00:12:47,101712-STOP_20664,20
101712-102720:0:svc-32:0,00:13:24,00:13:24,101712-STOP_20665,21
101712-102720:0:svc-32:0,00:13:55,00:13:55,101712-STOP_20666,22
101712-102720:0:svc-32:0,00:15:08,00:15:08,101712-STOP_20667,23
101712-102720:0:svc-32:0,00:15:31,00:15:31,101712-STOP_20668,24
101712-102720:0:svc-32:0,00:16:35,00:16:35,101712-STOP_20669,25
