stop_id,stop_name,stop_lat,stop_lon
101712-STOP_219212,永春公寓,25.040007,121.577949
101712-STOP_36902,九如里一,25.038138,121.616901
101712-STOP_10076,新益里,25.062286,121.566155
101712-STOP_10177,華山文創園區,25.043930,121.526315
101712-STOP_10300,海山里,25.034382,121.444830
101712-STOP_10413,湖興,25.068031,121.590661
101712-STOP_10743,麗寶大樓,25.070313,121.582591
101712-STOP_10804,廈安里,25.030563,121.504086
101712-STOP_10948,臺北科技大學,25.044099,121.532172
101712-STOP_11341,麗寶大樓,25.070313,121.582591
101712-STOP_11432,捷運台大醫院站,25.041927,121.516353
101712-STOP_11714,信義大安路口,25.033384,121.546167
101712-STOP_11887,進安公園,25.046124,121.537453
101712-STOP_11982,羅斯福金門街口,25.024289,121.524350
101712-STOP_12167,空軍司令部,25.079400,121.540312
101712-STOP_12189,內湖基湖路口,25.081990,121.565227
101712-STOP_12201,文德二號公園,25.077078,121.583667
101712-STOP_10004,空中大學(中正路),25.086711,121.467798
101712-STOP_10247,民權隧道,25.072367,121.604839
101712-STOP_10736,中研院,25.043422,121.616561
101712-STOP_10806,南機場公寓,25.028385,121.505465
101712-STOP_10903,新益里,25.062286,121.566155
101712-STOP_11274,公館華廈,25.124602,121.506468
101712-STOP_11286,榮總,25.118567,121.519685
101712-STOP_11400,華泰新城(宜安路),24.998841,121.508875
101712-STOP_11561,聯合醫院中興院區(塔城),25.051335,121.510399
101712-STOP_11642,博物館(襄陽),25.043454,121.515494
101712-STOP_11888,中影八德大樓,25.046706,121.540827
101712-STOP_12172,國民住宅,25.045708,121.573426
101712-STOP_12210,臺北市立美術館,25.072140,121.523964
101712-STOP_12344,文林國小,25.108034,121.513973
101712-STOP_12431,西藏路,25.029737,121.501697
101712-STOP_10179,臺北科技大學(忠孝),25.041965,121.534208
101712-STOP_10196,永春公寓,25.039975,121.577718
101712-STOP_10298,盲人重建院,25.033904,121.442607
101712-STOP_10421,南京三民路口,25.051580,121.561111
101712-STOP_10579,集賢路,25.086512,121.482780
101712-STOP_11002,南港公園一,25.043926,121.592777
