route_id,service_id,trip_id,trip_headsign,direction_id
101712-10272,101712-64,101712-102720:0:svc-64:0,303路,0
101712-10272,101712-32,101712-102720:0:svc-32:0,303路,0
101712-10272,101712-16,101712-102720:0:svc-16:0,303路,0
101712-10272,101712-8,101712-102720:0:svc-8:0,303路,0
101712-10272,101712-4,101712-102720:0:svc-4:0,303路,0
101712-10472,101712-1,101712-161108:1:svc-1:1,111返程半,1
101712-10472,101712-2,101712-161108:1:svc-2:1,111返程半,1
101712-10748,101712-64,101712-107480:0:svc-64:2,295路,0
101712-10748,101712-32,101712-107480:0:svc-32:2,295路,0
101712-10748,101712-16,101712-107480:0:svc-16:2,295路,0
101712-10748,101712-8,101712-107480:0:svc-8:2,295路,0
101712-10748,101712-4,101712-107480:0:svc-4:2,295路,0
101712-10748,101712-2,101712-107480:0:svc-2:2,295路,0
101712-10748,101712-1,101712-107480:0:svc-1:2,295路,0
101712-10442,101712-1,101712-155894:0:svc-1:3,508區(三重),0
101712-10442,101712-64,101712-155894:0:svc-64:3,508區(三重),0
101712-10442,101712-32,101712-155894:0:svc-32:3,508區(三重),0
101712-10442,101712-16,101712-155894:0:svc-16:3,508區(三重),0
101712-10442,101712-8,101712-155894:0:svc-8:3,508區(三重),0
101712-10442,101712-4,101712-155894:0:svc-4:3,508區(三重),0
101712-10442,101712-2,101712-155894:0:svc-2:3,508區(三重),0
101712-10292,101712-1,101712-10292:0:svc-1:4,藍10,0
101712-10292,101712-64,101712-10292:0:svc-64:4,藍10,0
101712-10292,101712-32,101712-10292:0:svc-32:4,藍10,0
101712-10292,101712-16,101712-10292:0:svc-16:4,藍10,0
101712-10292,101712-8,101712-10292:0:svc-8:4,藍10,0
101712-10292,101712-4,101712-10292:0:svc-4:4,藍10,0
101712-10292,101712-2,101712-10292:0:svc-2:4,藍10,0
101712-10231,101712-1,101712-10231:0:svc-1:5,民權幹線,0
101712-10231,101712-64,101712-10231:0:svc-64:5,民權幹線,0
101712-10231,101712-32,101712-10231:0:svc-32:5,民權幹線,0
101712-10231,101712-16,101712-10231:0:svc-16:5,民權幹線,0
101712-10231,101712-8,101712-10231:0:svc-8:5,民權幹線,0
101712-10231,101712-4,101712-10231:0:svc-4:5,民權幹線,0
101712-10231,101712-2,101712-10231:0:svc-2:5,民權幹線,0
101712-10443,101712-64,101712-10443:0:svc-64:6,225,0
101712-10443,101712-32,101712-10443:0:svc-32:6,225,0
101712-10443,101712-16,101712-10443:0:svc-16:6,225,0
101712-10443,101712-8,101712-10443:0:svc-8:6,225,0
101712-10443,101712-4,101712-10443:0:svc-4:6,225,0
101712-10443,101712-1,101712-10443:0:svc-1:6,225,0
101712-10443,101712-2,101712-10443:0:svc-2:6,225,0
101712-10181,101712-1,101712-101810:0:svc-1:7,205,0
101712-10181,101712-2,101712-101810:0:svc-2:7,205,0
101712-10181,101712-64,101712-101810:0:svc-64:7,205,0
101712-10181,101712-32,101712-101810:0:svc-32:7,205,0
101712-10181,101712-16,101712-101810:0:svc-16:7,205,0
101712-10181,101712-8,101712-101810:0:svc-8:7,205,0
101712-10181,101712-4,101712-101810:0:svc-4:7,205,0
101712-10278,101712-1,101712-159520:0:svc-1:8,669狗狗公車,0
101712-10278,101712-2,101712-159520:0:svc-2:8,669狗狗公車,0
101712-10278,101712-64,101712-159520:0:svc-64:8,669狗狗公車,0
101712-10278,101712-32,101712-159520:0:svc-32:8,669狗狗公車,0
101712-10278,101712-16,101712-159520:0:svc-16:8,669狗狗公車,0
101712-10278,101712-8,101712-159520:0:svc-8:8,669狗狗公車,0
101712-10278,101712-4,101712-159520:0:svc-4:8,669狗狗公車,0
101712-10752,101712-1,101712-107520:0:svc-1:9,278,0
101712-10752,101712-64,101712-107520:0:svc-64:9,278,0
101712-10752,101712-32,101712-107520:0:svc-32:9,278,0
101712-10752,101712-16,101712-107520:0:svc-16:9,278,0
101712-10752,101712-8,101712-107520:0:svc-8:9,278,0
101712-10752,101712-4,101712-107520:0:svc-4:9,278,0
101712-10752,101712-2,101712-107520:0:svc-2:9,278,0
101712-10415,101712-1,101712-104150:0:svc-1:10,221,0
101712-10415,101712-64,101712-104150:0:svc-64:10,221,0
101712-10415,101712-32,101712-104150:0:svc-32:10,221,0
101712-10415,101712-16,101712-104150:0:svc-16:10,221,0
101712-10415,101712-8,101712-104150:0:svc-8:10,221,0
101712-10415,101712-4,101712-104150:0:svc-4:10,221,0
101712-10415,101712-2,101712-104150:0:svc-2:10,221,0
101712-10422,101712-1,101712-104220:0:svc-1:11,617,0
101712-10422,101712-64,101712-104220:0:svc-64:11,617,0
101712-10422,101712-32,101712-104220:0:svc-32:11,617,0
101712-10422,101712-16,101712-104220:0:svc-16:11,617,0
101712-10422,101712-8,101712-104220:0:svc-8:11,617,0
101712-10422,101712-4,101712-104220:0:svc-4:11,617,0
101712-10422,101712-2,101712-104220:0:svc-2:11,617,0
101712-10735,101712-1,101712-10735:0:svc-1:12,253路,0
101712-10735,101712-64,101712-10735:0:svc-64:12,253路,0
101712-10735,101712-32,101712-10735:0:svc-32:12,253路,0
101712-10735,101712-16,101712-10735:0:svc-16:12,253路,0
101712-10735,101712-8,101712-10735:0:svc-8:12,253路,0
101712-10735,101712-4,101712-10735:0:svc-4:12,253路,0
101712-10735,101712-2,101712-10735:0:svc-2:12,253路,0
101712-10863,101712-64,101712-108630:0:svc-64:13,38區,0
101712-10863,101712-32,101712-108630:0:svc-32:13,38區,0
101712-10863,101712-16,101712-108630:0:svc-16:13,38區,0
101712-10863,101712-8,101712-108630:0:svc-8:13,38區,0
101712-10863,101712-4,101712-108630:0:svc-4:13,38區,0
101712-10863,101712-1,101712-108630:0:svc-1:13,38區,0
101712-10863,101712-2,101712-108630:0:svc-2:13,38區,0
101712-10771,101712-1,101712-107710:0:svc-1:14,670,0
101712-10771,101712-64,101712-107710:0:svc-64:14,670,0
101712-10771,101712-32,101712-107710:0:svc-32:14,670,0
101712-10771,101712-16,101712-107710:0:svc-16:14,670,0
101712-10771,101712-8,101712-107710:0:svc-8:14,670,0
101712-10771,101712-4,101712-107710:0:svc-4:14,670,0
101712-10771,101712-2,101712-107710:0:svc-2:14,670,0
101712-10853,101712-1,101712-108530:0:svc-1:15,287區,0
101712-10853,101712-64,101712-108530:0:svc-64:15,287區,0
101712-10853,101712-32,101712-108530:0:svc-32:15,287區,0
101712-10853,101712-16,101712-108530:0:svc-16:15,287區,0
101712-10853,101712-8,101712-108530:0:svc-8:15,287區,0
101712-10853,101712-4,101712-108530:0:svc-4:15,287區,0
101712-10853,101712-2,101712-108530:0:svc-2:15,287區,0
101712-10822,101712-1,101712-108220:0:svc-1:16,108,0
101712-10822,101712-64,101712-108220:0:svc-64:16,108,0
