trip_id,start_time,end_time,headway_secs,exact_times
Blue_BL-1_RAIL_WD_UP,06:00:00,07:00:00,480,
Blue_BL-1_RAIL_WD_UP,09:00:00,17:00:00,480,
Blue_BL-1_RAIL_WD_UP,19:30:00,23:00:00,480,
Blue_BL-1_RAIL_WD_UP,23:00:00,24:00:00,480,
Blue_BL-1_RAIL_WD_UP,07:00:00,09:00:00,360,
Blue_BL-1_RAIL_WD_UP,17:00:00,19:30:00,360,
Blue_BL-1_RAIL_WD_DN,06:00:00,07:00:00,480,
Blue_BL-1_RAIL_WD_DN,09:00:00,17:00:00,480,
Blue_BL-1_RAIL_WD_DN,19:30:00,23:00:00,480,
Blue_BL-1_RAIL_WD_DN,23:00:00,24:00:00,480,
Blue_BL-1_RAIL_WD_DN,07:00:00,09:00:00,360,
Blue_BL-1_RAIL_WD_DN,17:00:00,19:30:00,360,
Blue_BL-1_RAIL_HD_UP,06:00:00,08:00:00,480,
Blue_BL-1_RAIL_HD_UP,08:00:00,23:00:00,480,
Blue_BL-1_RAIL_HD_UP,23:00:00,24:00:00,480,
Blue_BL-1_RAIL_HD_DN,06:00:00,08:00:00,480,
Blue_BL-1_RAIL_HD_DN,08:00:00,23:00:00,480,
Blue_BL-1_RAIL_HD_DN,23:00:00,24:00:00,480,
Blue_BL-2_RAIL_WD_UP,06:00:00,07:00:00,480,
Blue_BL-2_RAIL_WD_UP,09:00:00,17:00:00,480,
Blue_BL-2_RAIL_WD_UP,19:30:00,23:00:00,480,
Blue_BL-2_RAIL_WD_UP,07:00:00,09:00:00,360,
Blue_BL-2_RAIL_WD_UP,17:00:00,19:30:00,360,
Blue_BL-2_RAIL_WD_DN,06:00:00,07:00:00,480,
Blue_BL-2_RAIL_WD_DN,09:00:00,17:00:00,480,
Blue_BL-2_RAIL_WD_DN,19:30:00,23:00:00,480,
Blue_BL-2_RAIL_WD_DN,07:00:00,09:00:00,360,
Blue_BL-2_RAIL_WD_DN,17:00:00,19:30:00,360,
Blue_BL-2_RAIL_HD_UP,08:00:00,23:00:00,480,
Blue_BL-2_RAIL_HD_DN,08:00:00,23:00:00,480,
Brown_BR-1_RAIL_WD_UP,06:00:00,07:00:00,240,
Brown_BR-1_RAIL_WD_UP,09:00:00,17:00:00,240,
Brown_BR-1_RAIL_WD_UP,19:30:00,23:00:00,240,
Brown_BR-1_RAIL_WD_UP,23:00:00,24:00:00,720,
Brown_BR-1_RAIL_WD_UP,07:00:00,09:00:00,120,
Brown_BR-1_RAIL_WD_UP,17:00:00,19:30:00,120,
Brown_BR-1_RAIL_WD_DN,06:00:00,07:00:00,240,
Brown_BR-1_RAIL_WD_DN,09:00:00,17:00:00,240,
Brown_BR-1_RAIL_WD_DN,19:30:00,23:00:00,240,
Brown_BR-1_RAIL_WD_DN,23:00:00,24:00:00,720,
Brown_BR-1_RAIL_WD_DN,07:00:00,09:00:00,120,
Brown_BR-1_RAIL_WD_DN,17:00:00,19:30:00,120,
Brown_BR-1_RAIL_HD_UP,06:00:00,23:00:00,240,
Brown_BR-1_RAIL_HD_UP,23:00:00,24:00:00,720,
Brown_BR-1_RAIL_HD_DN,06:00:00,23:00:00,240,
Brown_BR-1_RAIL_HD_DN,23:00:00,24:00:00,720,
Green_G-1_RAIL_WD_UP,06:00:00,07:00:00,360,
Green_G-1_RAIL_WD_UP,09:00:00,17:00:00,360,
Green_G-1_RAIL_WD_UP,19:30:00,23:00:00,360,
Green_G-1_RAIL_WD_UP,23:00:00,24:00:00,720,
Green_G-1_RAIL_WD_UP,07:00:00,09:00:00,240,
Green_G-1_RAIL_WD_UP,17:00:00,19:30:00,240,
Green_G-1_RAIL_WD_DN,06:00:00,07:00:00,360,
Green_G-1_RAIL_WD_DN,09:00:00,17:00:00,360,
Green_G-1_RAIL_WD_DN,19:30:00,23:00:00,360,
Green_G-1_RAIL_WD_DN,23:00:00,24:00:00,720,
Green_G-1_RAIL_WD_DN,07:00:00,09:00:00,240,
Green_G-1_RAIL_WD_DN,17:00:00,19:30:00,240,
Green_G-1_RAIL_HD_UP,06:00:00,09:00:00,480,
Green_G-1_RAIL_HD_UP,09:00:00,23:00:00,360,
Green_G-1_RAIL_HD_UP,23:00:00,24:00:00,720,
Green_G-1_RAIL_HD_DN,06:00:00,09:00:00,480,
Green_G-1_RAIL_HD_DN,09:00:00,23:00:00,360,
Green_G-1_RAIL_HD_DN,23:00:00,24:00:00,720,
Green_G-2_RAIL_WD_UP,07:00:00,09:00:00,240,
Green_G-2_RAIL_WD_UP,17:00:00,19:30:00,240,
Green_G-2_RAIL_WD_DN,07:00:00,09:00:00,240,
Green_G-2_RAIL_WD_DN,17:00:00,19:30:00,240,
QX_G-3_RAIL_WD_UP,06:00:00,24:00:00,720,
QX_G-3_RAIL_WD_DN,06:00:00,24:00:00,720,
QX_G-3_RAIL_HD_UP,06:00:00,24:00:00,720,
QX_G-3_RAIL_HD_DN,06:00:00,24:00:00,720,
Orange_O-1_RAIL_WD_UP,06:00:00,07:00:00,540,
Orange_O-1_RAIL_WD_UP,09:00:00,17:00:00,540,
Orange_O-1_RAIL_WD_UP,19:30:00,23:00:00,540,
Orange_O-1_RAIL_WD_UP,23:00:00,24:00:00,720,
Orange_O-1_RAIL_WD_UP,07:00:00,09:00:00,360,
Orange_O-1_RAIL_WD_UP,17:00:00,19:30:00,360,
Orange_O-1_RAIL_WD_DN,06:00:00,07:00:00,540,
Orange_O-1_RAIL_WD_DN,09:00:00,17:00:00,540,
Orange_O-1_RAIL_WD_DN,19:30:00,23:00:00,540,
Orange_O-1_RAIL_WD_DN,23:00:00,24:00:00,720,
Orange_O-1_RAIL_WD_DN,07:00:00,09:00:00,360,
Orange_O-1_RAIL_WD_DN,17:00:00,19:30:00,360,
Orange_O-1_RAIL_HD_UP,06:00:00,23:00:00,540,
Orange_O-1_RAIL_HD_UP,23:00:00,24:00:00,720,
Orange_O-1_RAIL_HD_DN,06:00:00,23:00:00,540,
Orange_O-1_RAIL_HD_DN,23:00:00,24:00:00,720,
Orange_O-2_RAIL_WD_UP,06:00:00,07:00:00,540,
Orange_O-2_RAIL_WD_UP,09:00:00,17:00:00,540,
Orange_O-2_RAIL_WD_UP,19:30:00,23:00:00,540,
Orange_O-2_RAIL_WD_UP,23:00:00,24:00:00,720,
Orange_O-2_RAIL_WD_UP,07:00:00,09:00:00,360,
Orange_O-2_RAIL_WD_UP,17:00:00,19:30:00,360,
Orange_O-2_RAIL_WD_DN,06:00:00,07:00:00,540,
Orange_O-2_RAIL_WD_DN,09:00:00,17:00:00,540,
Orange_O-2_RAIL_WD_DN,19:30:00,23:00:00,540,
Orange_O-2_RAIL_WD_DN,23:00:00,24:00:00,720,
Orange_O-2_RAIL_WD_DN,07:00:00,09:00:00,360,
Orange_O-2_RAIL_WD_DN,17:00:00,19:30:00,360,
Orange_O-2_RAIL_HD_UP,06:00:00,23:00:00,540,
Orange_O-2_RAIL_HD_UP,23:00:00,24:00:00,720,
Orange_O-2_RAIL_HD_DN,06:00:00,23:00:00,540,
Orange_O-2_RAIL_HD_DN,23:00:00,24:00:00,720,
Red_R-1_RAIL_WD_UP,06:00:00,07:00:00,480,
Red_R-1_RAIL_WD_UP,09:00:00,17:00:00,480,
Red_R-1_RAIL_WD_UP,19:30:00,23:00:00,480,
Red_R-1_RAIL_WD_UP,23:00:00,24:00:00,720,
Red_R-1_RAIL_WD_UP,07:00:00,09:00:00,360,
Red_R-1_RAIL_WD_UP,17:00:00,19:30:00,360,
Red_R-1_RAIL_WD_DN,06:00:00,07:00:00,480,
Red_R-1_RAIL_WD_DN,09:00:00,17:00:00,480,
Red_R-1_RAIL_WD_DN,19:30:00,23:00:00,480,
Red_R-1_RAIL_WD_DN,23:00:00,24:00:00,720,
Red_R-1_RAIL_WD_DN,07:00:00,09:00:00,360,
Red_R-1_RAIL_WD_DN,17:00:00,19:30:00,360,
Red_R-1_RAIL_HD_UP,06:00:00,08:00:00,480,
Red_R-1_RAIL_HD_UP,08:00:00,23:00:00,480,
Red_R-1_RAIL_HD_UP,23:00:00,24:00:00,720,
Red_R-1_RAIL_HD_DN,06:00:00,08:00:00,480,
Red_R-1_RAIL_HD_DN,08:00:00,23:00:00,480,
Red_R-1_RAIL_HD_DN,23:00:00,24:00:00,720,
Red_R-2_RAIL_WD_UP,06:00:00,07:00:00,480,
Red_R-2_RAIL_WD_UP,09:00:00,17:00:00,480,
Red_R-2_RAIL_WD_UP,19:30:00,23:00:00,480,
Red_R-2_RAIL_WD_UP,07:00:00,09:00:00,360,
Red_R-2_RAIL_WD_UP,17:00:00,19:30:00,360,
Red_R-2_RAIL_WD_DN,06:00:00,07:00:00,480,
Red_R-2_RAIL_WD_DN,09:00:00,17:00:00,480,
Red_R-2_RAIL_WD_DN,19:30:00,23:00:00,480,
Red_R-2_RAIL_WD_DN,07:00:00,09:00:00,360,
Red_R-2_RAIL_WD_DN,17:00:00,19:30:00,360,
Red_R-2_RAIL_HD_UP,08:00:00,23:00:00,480,
Red_R-2_RAIL_HD_DN,08:00:00,23:00:00,480,
BX_R-3_RAIL_WD_UP,06:00:00,06:30:00,720,
BX_R-3_RAIL_WD_UP,09:00:00,17:00:00,600,
BX_R-3_RAIL_WD_UP,19:30:00,23:00:00,480,
BX_R-3_RAIL_WD_UP,23:00:00,24:00:00,720,
BX_R-3_RAIL_WD_UP,06:30:00,09:00:00,420,
BX_R-3_RAIL_WD_UP,17:00:00,19:30:00,420,
BX_R-3_RAIL_WD_DN,06:00:00,06:30:00,720,
BX_R-3_RAIL_WD_DN,09:00:00,17:00:00,600,
BX_R-3_RAIL_WD_DN,19:30:00,23:00:00,480,
BX_R-3_RAIL_WD_DN,23:00:00,24:00:00,720,
BX_R-3_RAIL_WD_DN,06:30:00,09:00:00,420,
BX_R-3_RAIL_WD_DN,17:00:00,19:30:00,420,
BX_R-3_RAIL_HD_UP,06:00:00,23:00:00,600,
BX_R-3_RAIL_HD_UP,23:00:00,24:00:00,720,
BX_R-3_RAIL_HD_DN,06:00:00,23:00:00,600,
BX_R-3_RAIL_HD_DN,23:00:00,24:00:00,720,
Circular_Y-1_RAIL_WD_UP,06:00:00,07:00:00,300,
Circular_Y-1_RAIL_WD_UP,09:00:00,17:00:00,300,
Circular_Y-1_RAIL_WD_UP,19:30:00,23:00:00,300,
Circular_Y-1_RAIL_WD_UP,23:00:00,24:00:00,720,
Circular_Y-1_RAIL_WD_UP,07:00:00,09:00:00,240,
Circular_Y-1_RAIL_WD_UP,17:00:00,19:30:00,240,
Circular_Y-1_RAIL_WD_DN,06:00:00,07:00:00,300,
Circular_Y-1_RAIL_WD_DN,09:00:00,17:00:00,300,
Circular_Y-1_RAIL_WD_DN,19:30:00,23:00:00,300,
Circular_Y-1_RAIL_WD_DN,23:00:00,24:00:00,720,
Circular_Y-1_RAIL_WD_DN,07:00:00,09:00:00,240,
Circular_Y-1_RAIL_WD_DN,17:00:00,19:30:00,240,
Circular_Y-1_RAIL_HD_UP,06:00:00,23:00:00,300,
Circular_Y-1_RAIL_HD_UP,23:00:00,24:00:00,720,
Circular_Y-1_RAIL_HD_DN,06:00:00,23:00:00,300,
Circular_Y-1_RAIL_HD_DN,23:00:00,24:00:00,720,
