trip_id,arrival_time,departure_time,stop_id,stop_sequence
Blue_BL-1_RAIL_WD_UP,06:00:00,06:00:00,BL23,1
Blue_BL-1_RAIL_WD_UP,06:01:52,06:01:52,BL22,2
Blue_BL-1_RAIL_WD_UP,06:03:41,06:04:05,BL21,3
Blue_BL-1_RAIL_WD_UP,06:05:52,06:06:17,BL20,4
Blue_BL-1_RAIL_WD_UP,06:07:33,06:08:02,BL19,5
Blue_BL-1_RAIL_WD_UP,06:09:29,06:09:54,BL18,6
Blue_BL-1_RAIL_WD_UP,06:11:11,06:11:39,BL17,7
Blue_BL-1_RAIL_WD_UP,06:12:50,06:13:18,BL16,8
Blue_BL-1_RAIL_WD_UP,06:14:23,06:14:51,BL15,9
Blue_BL-1_RAIL_WD_UP,06:16:21,06:17:01,BL14,10
Blue_BL-1_RAIL_WD_UP,06:18:22,06:19:02,BL13,11
Blue_BL-1_RAIL_WD_UP,06:20:08,06:20:33,BL12,12
Blue_BL-1_RAIL_WD_UP,06:22:33,06:23:15,BL11,13
Blue_BL-1_RAIL_WD_UP,06:25:05,06:25:40,BL10,14
Blue_BL-1_RAIL_WD_UP,06:28:52,06:29:21,BL09,15
Blue_BL-1_RAIL_WD_UP,06:30:38,06:31:06,BL08,16
Blue_BL-1_RAIL_WD_UP,06:32:53,06:33:21,BL07,17
Blue_BL-1_RAIL_WD_UP,06:34:28,06:34:56,BL06,18
Blue_BL-1_RAIL_WD_UP,06:36:38,06:37:06,BL05,19
Blue_BL-1_RAIL_WD_UP,06:39:28,06:39:54,BL04,20
Blue_BL-1_RAIL_WD_UP,06:41:40,06:42:06,BL03,21
Blue_BL-1_RAIL_WD_UP,06:43:41,06:44:07,BL02,22
Blue_BL-1_RAIL_WD_UP,06:47:07,06:47:35,BL01,23
Blue_BL-1_RAIL_WD_DN,06:00:00,06:00:00,BL01,1
Blue_BL-1_RAIL_WD_DN,06:03:00,06:03:28,BL02,2
Blue_BL-1_RAIL_WD_DN,06:05:03,06:05:29,BL03,3
Blue_BL-1_RAIL_WD_DN,06:07:15,06:07:41,BL04,4
Blue_BL-1_RAIL_WD_DN,06:10:03,06:10:29,BL05,5
Blue_BL-1_RAIL_WD_DN,06:12:11,06:12:39,BL06,6
Blue_BL-1_RAIL_WD_DN,06:13:46,06:14:14,BL07,7
Blue_BL-1_RAIL_WD_DN,06:16:01,06:16:29,BL08,8
Blue_BL-1_RAIL_WD_DN,06:17:46,06:18:14,BL09,9
Blue_BL-1_RAIL_WD_DN,06:21:26,06:21:55,BL10,10
Blue_BL-1_RAIL_WD_DN,06:23:45,06:24:20,BL11,11
Blue_BL-1_RAIL_WD_DN,06:26:20,06:27:02,BL12,12
Blue_BL-1_RAIL_WD_DN,06:28:08,06:28:33,BL13,13
Blue_BL-1_RAIL_WD_DN,06:29:54,06:30:34,BL14,14
Blue_BL-1_RAIL_WD_DN,06:32:04,06:32:44,BL15,15
Blue_BL-1_RAIL_WD_DN,06:33:49,06:34:17,BL16,16
