stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
BL01,BL01,頂埔,板南線,24.959351,121.418744,,,1,,,1,
BL02,BL02,永寧,板南線,24.966820,121.436130,,,1,,,1,
BL03,BL03,土城,板南線,24.973130,121.444320,,,1,,,1,
BL04,BL04,海山,板南線,24.985348,121.448787,,,1,,,1,
BL05,BL05,亞東醫院,板南線,24.998280,121.452465,,,1,,,1,
BL06,BL06,府中,板南線,25.008465,121.459276,,,1,,,1,
BL07,BL07,板橋,板南線,25.014098,121.462671,,,1,,,1,
BL08,BL08,新埔,板南線,25.023736,121.468363,,,1,,,1,
BL09,BL09,江子翠,板南線,25.030265,121.472570,,,1,,,1,
BL10,BL10,龍山寺,板南線,25.035280,121.500325,,,1,,,1,
BL11,BL11,西門,板南線,25.042274,121.508511,,,1,,,1,
BL12,BL12,台北車站,板南線,25.046310,121.517415,,,1,,,1,
BL13,BL13,善導寺,板南線,25.044680,121.523885,,,1,,,1,
BL14,BL14,忠孝新生,板南線,25.042300,121.532800,,,1,,,1,
BL15,BL15,忠孝復興,板南線,25.041633,121.543769,,,1,,,1,
BL16,BL16,忠孝敦化,板南線,25.041505,121.550450,,,1,,,1,
BL17,BL17,國父紀念館,板南線,25.041370,121.557815,,,1,,,1,
BL18,BL18,市政府,板南線,25.041135,121.565685,,,1,,,1,
BL19,BL19,永春,板南線,25.040855,121.576200,,,1,,,1,
BL20,BL20,後山埤,板南線,25.044715,121.582270,,,1,,,1,
BL21,BL21,昆陽,板南線,25.050459,121.593228,,,1,,,1,
BL22,BL22,南港,板南線,25.052035,121.606970,,,1,,,1,
BL23,BL23,南港展覽館,板南線,25.054919,121.616861,,,1,,,1,
BR01,BR01,動物園,文湖線,24.998205,121.579501,,,1,,,1,
BR02,BR02,木柵,文湖線,24.998240,121.573127,,,1,,,1,
BR03,BR03,萬芳社區,文湖線,24.998570,121.568088,,,1,,,1,
BR04,BR04,萬芳醫院,文湖線,24.999320,121.558092,,,1,,,1,
BR05,BR05,辛亥,文湖線,25.005455,121.557046,,,1,,,1,
BR06,BR06,麟光,文湖線,25.018495,121.558834,,,1,,,1,
BR07,BR07,六張犁,文湖線,25.023810,121.553020,,,1,,,1,
BR08,BR08,科技大樓,文湖線,25.026120,121.543462,,,1,,,1,
BR09,BR09,大安,文湖線,25.033311,121.542370,,,1,,,1,
BR10,BR10,忠孝復興,文湖線,25.041104,121.543703,,,1,,,1,
BR11,BR11,南京復興,文湖線,25.052044,121.544303,,,1,,,1,
BR12,BR12,中山國中,文湖線,25.060850,121.544215,,,1,,,1,
BR13,BR13,松山機場,文湖線,25.063111,121.551620,,,1,,,1,
BR14,BR14,大直,文湖線,25.079430,121.546790,,,1,,,1,
BR15,BR15,劍南路,文湖線,25.084830,121.555582,,,1,,,1,
BR16,BR16,西湖,文湖線,25.082160,121.567227,,,1,,,1,
BR17,BR17,港墘,文湖線,25.080070,121.575160,,,1,,,1,
BR18,BR18,文德,文湖線,25.078567,121.584973,,,1,,,1,
BR19,BR19,內湖,文湖線,25.083675,121.594363,,,1,,,1,
BR20,BR20,大湖公園,文湖線,25.083805,121.602214,,,1,,,1,
BR21,BR21,葫洲,文湖線,25.072710,121.607146,,,1,,,1,
BR22,BR22,東湖,文湖線,25.067455,121.611535,,,1,,,1,
BR23,BR23,南港軟體園區,文湖線,25.059911,121.615860,,,1,,,1,
BR24,BR24,南港展覽館,文湖線,25.054919,121.616861,,,1,,,1,
G01,G01,新店,松山新店線,24.958181,121.537700,,,1,,,1,
G02,G02,新店區公所,松山新店線,24.967440,121.541300,,,1,,,1,
G03,G03,七張,松山新店線,24.975036,121.543129,,,1,,,1,
G04,G04,大坪林,松山新店線,24.982720,121.541340,,,1,,,1,
G05,G05,景美,松山新店線,24.992824,121.540697,,,1,,,1,
G06,G06,萬隆,松山新店線,25.001978,121.539008,,,1,,,1,
G07,G07,公館,松山新店線,25.014781,121.534358,,,1,,,1,
G08,G08,台電大樓,松山新店線,25.020733,121.528143,,,1,,,1,
G09,G09,古亭,松山新店線,25.026373,121.522868,,,1,,,1,
G10,G10,中正紀念堂,松山新店線,25.032767,121.518273,,,1,,,1,
G11,G11,小南門,松山新店線,25.035619,121.510798,,,1,,,1,
G12,G12,西門,松山新店線,25.042274,121.508511,,,1,,,1,
G13,G13,北門,松山新店線,25.049554,121.510184,,,1,,,1,
G14,G14,中山,松山新店線,25.052621,121.520364,,,1,,,1,
G15,G15,松江南京,松山新店線,25.052693,121.532850,,,1,,,1,
G16,G16,南京復興,松山新店線,25.052044,121.544303,,,1,,,1,
G17,G17,台北小巨蛋,松山新店線,25.051520,121.552549,,,1,,,1,
G18,G18,南京三民,松山新店線,25.051588,121.564710,,,1,,,1,
G19,G19,松山,松山新店線,25.050118,121.577706,,,1,,,1,
G03A,G03A,小碧潭,松山新店線,24.971880,121.530580,,,1,,,1,
O01,O01,南勢角,中和新蘆線,24.990065,121.509237,,,1,,,1,
O02,O02,景安,中和新蘆線,24.993920,121.505114,,,1,,,1,
O03,O03,永安市場,中和新蘆線,25.002895,121.511225,,,1,,,1,
O04,O04,頂溪,中和新蘆線,25.013080,121.515398,,,1,,,1,
O05,O05,古亭,中和新蘆線,25.026373,121.522868,,,1,,,1,
O06,O06,東門,中和新蘆線,25.033894,121.528766,,,1,,,1,
O07,O07,忠孝新生,中和新蘆線,25.041797,121.532856,,,1,,,1,
O08,O08,松江南京,中和新蘆線,25.052693,121.532850,,,1,,,1,
O09,O09,行天宮,中和新蘆線,25.059240,121.533150,,,1,,,1,
