table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_name,en,Taipei Rapid Transit Corporation,TRTC,,
agency,agency_name,en,New Taipei Metro Corporation,NTMCC,,
routes,route_short_name,en,Bannan Line,Blue,,
routes,route_short_name,en,Wenhu Line,Brown,,
routes,route_short_name,en,Songshan-Xindian Line,Green,,
routes,route_short_name,en,Zhonghe-Xinlu Line,Orange,,
routes,route_short_name,en,Tamsui-Xinyi Line,Red,,
routes,route_short_name,en,Circular Line,Circular,,
routes,route_short_name,en,Xinbeitou Branch,BX,,
routes,route_short_name,en,Xiaobitan Branch,QX,,
stops,stop_name,en,Dingpu,BL01,,
stops,stop_name,en,Yongning,BL02,,
stops,stop_name,en,Tucheng,BL03,,
stops,stop_name,en,Haishan,BL04,,
stops,stop_name,en,Far Eastern Hospital,BL05,,
stops,stop_name,en,Fuzhong,BL06,,
stops,stop_name,en,Banqiao,BL07,,
stops,stop_name,en,Xinpu,BL08,,
stops,stop_name,en,Jiangzicui,BL09,,
stops,stop_name,en,Longshan Temple,BL10,,
stops,stop_name,en,Ximen,BL11,,
stops,stop_name,en,Taipei Main Station,BL12,,
stops,stop_name,en,Shandao Temple,BL13,,
stops,stop_name,en,Zhongxiao Xinsheng,BL14,,
stops,stop_name,en,Zhongxiao Fuxing,BL15,,
stops,stop_name,en,Zhongxiao Dunhua,BL16,,
stops,stop_name,en,Sun Yat-Sen Memorial Hall,BL17,,
stops,stop_name,en,Taipei City Hall,BL18,,
stops,stop_name,en,Yongchun,BL19,,
stops,stop_name,en,Houshanpi,BL20,,
stops,stop_name,en,Kunyang,BL21,,
stops,stop_name,en,Nangang,BL22,,
stops,stop_name,en,Taipei Nangang Exhibition Center,BL23,,
stops,stop_name,en,Taipei Zoo,BR01,,
stops,stop_name,en,Muzha,BR02,,
stops,stop_name,en,Wanfang Community,BR03,,
stops,stop_name,en,Wanfang Hospital,BR04,,
stops,stop_name,en,Xinhai,BR05,,
stops,stop_name,en,Linguang,BR06,,
stops,stop_name,en,Liuzhangli,BR07,,
stops,stop_name,en,Technology Building,BR08,,
stops,stop_name,en,Daan,BR09,,
stops,stop_name,en,Zhongxiao Fuxing,BR10,,
stops,stop_name,en,Nanjing Fuxing,BR11,,
stops,stop_name,en,Zhongshan Junior High School,BR12,,
stops,stop_name,en,Songshan Airport,BR13,,
stops,stop_name,en,Dazhi,BR14,,
stops,stop_name,en,Jiannan Rd.,BR15,,
stops,stop_name,en,Xihu,BR16,,
stops,stop_name,en,Gangqian,BR17,,
stops,stop_name,en,Wende,BR18,,
stops,stop_name,en,Neihu,BR19,,
stops,stop_name,en,Dahu Park,BR20,,
stops,stop_name,en,Huzhou,BR21,,
stops,stop_name,en,Donghu,BR22,,
stops,stop_name,en,Nangang Software Park,BR23,,
stops,stop_name,en,Taipei Nangang Exhibition Center,BR24,,
stops,stop_name,en,Xindian,G01,,
stops,stop_name,en,Xindian District Office,G02,,
stops,stop_name,en,Qizhang,G03,,
stops,stop_name,en,Xiaobitan,G03A,,
stops,stop_name,en,Dapinglin,G04,,
stops,stop_name,en,Jingmei,G05,,
stops,stop_name,en,Wanlong,G06,,
stops,stop_name,en,Gongguan,G07,,
stops,stop_name,en,Taipower Building,G08,,
stops,stop_name,en,Guting,G09,,
stops,stop_name,en,Chiang Kai-Shek Memorial Hall,G10,,
stops,stop_name,en,Xiaonanmen,G11,,
stops,stop_name,en,Ximen,G12,,
stops,stop_name,en,Beimen,G13,,
stops,stop_name,en,Zhongshan,G14,,
stops,stop_name,en,Songjiang Nanjing,G15,,
stops,stop_name,en,Nanjing Fuxing,G16,,
stops,stop_name,en,Taipei Arena,G17,,
stops,stop_name,en,Nanjing Sanmin,G18,,
stops,stop_name,en,Songshan,G19,,
stops,stop_name,en,Nanshijiao,O01,,
stops,stop_name,en,Jingan,O02,,
stops,stop_name,en,Yongan Market,O03,,
stops,stop_name,en,Dingxi,O04,,
stops,stop_name,en,Guting,O05,,
stops,stop_name,en,Dongmen,O06,,
stops,stop_name,en,Zhongxiao Xinsheng,O07,,
stops,stop_name,en,Songjiang Nanjing,O08,,
stops,stop_name,en,Xingtian Temple,O09,,
stops,stop_name,en,Zhongshan Elementary School,O10,,
stops,stop_name,en,Minquan W. Rd.,O11,,
stops,stop_name,en,Daqiaotou,O12,,
stops,stop_name,en,Taipei Bridge,O13,,
stops,stop_name,en,Cailiao,O14,,
stops,stop_name,en,Sanchong,O15,,
stops,stop_name,en,Xianse Temple,O16,,
stops,stop_name,en,Touqianzhuang,O17,,
stops,stop_name,en,Xinzhuang,O18,,
stops,stop_name,en,Fu Jen University,O19,,
stops,stop_name,en,Danfeng,O20,,
stops,stop_name,en,Huilong,O21,,
stops,stop_name,en,Sanchong Elementary School,O50,,
stops,stop_name,en,Sanhe Junior High School,O51,,
stops,stop_name,en,St.lgnatius High School,O52,,
