route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Blue,RAIL_WD,Blue_BL-1_RAIL_WD_UP,頂埔,,0,,Blue,1,
Blue,RAIL_WD,Blue_BL-1_RAIL_WD_DN,南港展覽館,,1,,Blue,1,
Blue,RAIL_HD,Blue_BL-1_RAIL_HD_UP,頂埔,,0,,Blue,1,
Blue,RAIL_HD,Blue_BL-1_RAIL_HD_DN,南港展覽館,,1,,Blue,1,
Blue,RAIL_WD,Blue_BL-2_RAIL_WD_UP,亞東醫院,,0,,Blue,1,
Blue,RAIL_WD,Blue_BL-2_RAIL_WD_DN,南港展覽館,,1,,Blue,1,
Blue,RAIL_HD,Blue_BL-2_RAIL_HD_UP,亞東醫院,,0,,Blue,1,
Blue,RAIL_HD,Blue_BL-2_RAIL_HD_DN,南港展覽館,,1,,Blue,1,
Brown,RAIL_WD,Brown_BR-1_RAIL_WD_UP,動物園,,0,,Brown,1,
Brown,RAIL_WD,Brown_BR-1_RAIL_WD_DN,南港展覽館,,1,,Brown,1,
Brown,RAIL_HD,Brown_BR-1_RAIL_HD_UP,動物園,,0,,Brown,1,
Brown,RAIL_HD,Brown_BR-1_RAIL_HD_DN,南港展覽館,,1,,Brown,1,
Green,RAIL_WD,Green_G-1_RAIL_WD_UP,新店,,0,,Green,1,
Green,RAIL_WD,Green_G-1_RAIL_WD_DN,松山,,1,,Green,1,
Green,RAIL_HD,Green_G-1_RAIL_HD_UP,新店,,0,,Green,1,
Green,RAIL_HD,Green_G-1_RAIL_HD_DN,松山,,1,,Green,1,
Green,RAIL_WD,Green_G-2_RAIL_WD_UP,台電大樓,,0,,Green,1,
Green,RAIL_WD,Green_G-2_RAIL_WD_DN,松山,,1,,Green,1,
QX,RAIL_WD,QX_G-3_RAIL_WD_UP,小碧潭,,0,,QX,1,
QX,RAIL_WD,QX_G-3_RAIL_WD_DN,七張,,1,,QX,1,
QX,RAIL_HD,QX_G-3_RAIL_HD_UP,小碧潭,,0,,QX,1,
QX,RAIL_HD,QX_G-3_RAIL_HD_DN,七張,,1,,QX,1,
Orange,RAIL_WD,Orange_O-1_RAIL_WD_UP,南勢角,,0,,Orange,1,
Orange,RAIL_WD,Orange_O-1_RAIL_WD_DN,迴龍,,1,,Orange,1,
Orange,RAIL_HD,Orange_O-1_RAIL_HD_UP,南勢角,,0,,Orange,1,
Orange,RAIL_HD,Orange_O-1_RAIL_HD_DN,迴龍,,1,,Orange,1,
Orange,RAIL_WD,Orange_O-2_RAIL_WD_UP,南勢角,,0,,Orange,1,
Orange,RAIL_WD,Orange_O-2_RAIL_WD_DN,蘆洲,,1,,Orange,1,
Orange,RAIL_HD,Orange_O-2_RAIL_HD_UP,南勢角,,0,,Orange,1,
Orange,RAIL_HD,Orange_O-2_RAIL_HD_DN,蘆洲,,1,,Orange,1,
Red,RAIL_WD,Red_R-1_RAIL_WD_UP,象山,,0,,Red,1,
Red,RAIL_WD,Red_R-1_RAIL_WD_DN,淡水,,1,,Red,1,
Red,RAIL_HD,Red_R-1_RAIL_HD_UP,象山,,0,,Red,1,
Red,RAIL_HD,Red_R-1_RAIL_HD_DN,淡水,,1,,Red,1,
Red,RAIL_WD,Red_R-2_RAIL_WD_UP,大安,,0,,Red,1,
Red,RAIL_WD,Red_R-2_RAIL_WD_DN,北投,,1,,Red,1,
Red,RAIL_HD,Red_R-2_RAIL_HD_UP,大安,,0,,Red,1,
Red,RAIL_HD,Red_R-2_RAIL_HD_DN,北投,,1,,Red,1,
BX,RAIL_WD,BX_R-3_RAIL_WD_UP,新北投,,0,,BX,1,
BX,RAIL_WD,BX_R-3_RAIL_WD_DN,北投,,1,,BX,1,
BX,RAIL_HD,BX_R-3_RAIL_HD_UP,新北投,,0,,BX,1,
BX,RAIL_HD,BX_R-3_RAIL_HD_DN,北投,,1,,BX,1,
Circular,RAIL_WD,Circular_Y-1_RAIL_WD_UP,大坪林,,0,,Circular,1,
Circular,RAIL_WD,Circular_Y-1_RAIL_WD_DN,新北產業園區,,1,,Circular,1,
Circular,RAIL_HD,Circular_Y-1_RAIL_HD_UP,大坪林,,0,,Circular,1,
Circular,RAIL_HD,Circular_Y-1_RAIL_HD_DN,新北產業園區,,1,,Circular,1,
