service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
0000001,20260429,20270429,0,0,0,0,0,0,1
0000010,20260429,20270429,0,0,0,0,0,1,0
0000011,20260429,20270429,0,0,0,0,0,1,1
0000100,20260429,20270429,0,0,0,0,1,0,0
0000101,20260429,20270429,0,0,0,0,1,0,1
0000110,20260429,20270429,0,0,0,0,1,1,0
0000111,20260429,20270429,0,0,0,0,1,1,1
1000010,20260429,20270429,1,0,0,0,0,1,0
1000011,20260429,20270429,1,0,0,0,0,1,1
1110000,20260429,20270429,1,1,1,0,0,0,0
1111000,20260429,20270429,1,1,1,1,0,0,0
1111001,20260429,20270429,1,1,1,1,0,0,1
1111100,20260429,20270429,1,1,1,1,1,0,0
1111101,20260429,20270429,1,1,1,1,1,0,1
1111110,20260429,20270429,1,1,1,1,1,1,0
1111111,20260429,20270429,1,1,1,1,1,1,1
