route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
WEST,0000010,1003:1:0000010,新左營,1003,1,,W-WL,0
WEST,0000011,1004:0:0000011,七堵,1004,0,,W-WL,0
WEST,1111111,1006:0:1111111,七堵,1006,0,,W-WL,0
WEST,1111111,1007:1:1111111,鶯歌,1007,1,,W-WL,0
WEST,1111111,101:1:1111111,潮州,101,1,,W-WL,1
WEST,1111111,102:0:1111111,七堵,102,0,,W-WL,1
WEST,1111111,103:1:1111111,潮州,103,1,,W-WL,1
WEST,0000011,1034:0:0000011,七堵,1034,0,,W-WL,0
WEST,1111111,1038:0:1111111,七堵,1038,0,,W-WL,0
WEST,1111111,1048:0:1111111,七堵,1048,0,,W-WL,0
WEST,1111111,105:1:1111111,潮州,105,1,,W-WL,1
WEST,1111111,107:1:1111111,潮州,107,1,,W-WL,1
WEST,1111111,108:0:1111111,七堵,108,0,,W-WL,1
WEST,1111111,109:1:1111111,屏東,109,1,,W-WL,1
WEST,1111111,110:0:1111111,七堵,110,0,,W-WL,1
WEST,1111111,1104:0:1111111,基隆,1104,0,,W-WL,0
WEST,1111111,1105:1:1111111,苗栗,1105,1,,W-WL,0
WEST,1111111,1106:0:1111111,基隆,1106,0,,W-WL,0
WEST,1111110,1107:1:1111110,苗栗,1107,1,,W-WL,0
WEST,1111111,1108:0:1111111,基隆,1108,0,,W-WL,0
WEST,1111110,1109:1:1111110,新竹,1109,1,,W-WL,0
WEST,1111111,111:1:1111111,枋寮,111,1,,W-WL,1
WEST,1111111,1110:0:1111111,基隆,1110,0,,W-WL,0
WEST,1111110,1112:0:1111110,基隆,1112,0,,W-WL,0
WEST,1111111,1117:1:1111111,苗栗,1117,1,,W-WL,0
WEST,1111111,112:0:1111111,基隆,112,0,,W-WL,1
WEST,1111100,1120:0:1111100,基隆,1120,0,,W-WL,0
WEST,1111111,1121:1:1111111,新竹,1121,1,,W-WL,0
